trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-141.1431096329076,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-199.87461943090398,"{0: 10, 1: 5, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-30.30391449211246,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-255.19703434536794,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-89.3154593837353,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-39.910325082038824,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-85.55785817104646,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-16.033729312524702,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-156.97870597115977,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,5,-24.329301826981,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-59.46842624400106,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,12,-8.328234305963424,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-45.84704000528692,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-58.30193461524259,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,14,11.692817295122214,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-100.16483922935808,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-17.737908768747435,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,7,-111.6240546507248,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,24,-4.7071756023202065,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,33.973925535684934,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,9,-105.37612301133564,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-0.3817238951427464,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-31.321589606801048,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,12,11.13948046258014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,16,-40.457594912593,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,11,-15.302290533431727,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.51944608128476,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,8,-6.110945362076113,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-60.73738562522245,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.446599587346874,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
