trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-53.137147807706434,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-103.61993779253754,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-85.29161206823655,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-162.31725071894212,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-102.8070239144798,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-202.61562346676607,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-87.5608663327885,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-119.72315574807064,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-81.24338950278045,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-90.58909198473197,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-170.0886966745976,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-114.09100501558034,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-94.97883842148931,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,0,-161.82573607660746,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-137.2751026987585,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-76.25606498465531,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",1
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-80.28177789468826,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,8,-25.585600002157598,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-128.77947785630792,"{0: 7, 1: 3, 2: 8, 3: 2, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",35,0,-219.8661513599926,"{0: 17, 1: 8, 2: 6, 3: 1, 4: 3}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,0,-84.59770883594426,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-110.94474512416977,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9550419621907147}",35,0,-123.8616229226307,"{0: 21, 1: 6, 2: 4, 3: 4, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,6.676791804232936,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.951229424500714}",25,0,-47.15008312036009,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-55.702425076145644,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-118.64124392764516,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-109.30033063654919,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-75.09730061698079,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
30,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-214.93779036565348,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
31,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-96.89437825740684,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,15,7.412479138336566,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.002, 'e': 0.9361308642916188}",35,0,-188.30364078527765,"{0: 18, 1: 4, 2: 9, 3: 3, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.9342604735772135}",30,0,-71.44056193122668,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-98.64748114181216,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
