trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.00824576315514,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.79818126745675,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.318950940329,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.63024991178574,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.76371110196214,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.20519495653932,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.91519843956542,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.37531582326065,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.6438332843966,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.38084253605695,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.74338121004072,"{0: 10, 1: 6, 2: 4, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.27119075934301,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.99687658578166,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.68746366570377,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,14,-21.743455677707562,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.4010177612684,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.64968691390044,"{0: 17, 1: 4, 2: 6, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,11,-72.11936840614392,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.50318142917627,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.94204365088426,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.83248032621883,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-191.1178991796329,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.02912917552047,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.72273089691592,"{0: 14, 1: 6, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.09587785087282,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.7637651686506,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.13824047999522,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.47921204634842,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.55397758508343,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-41.930631613431686,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
